timestamp,cadvisor_version_info,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total,container_cpu_load_average_10s,container_cpu_load_d_average_10s,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_file_descriptors,container_fs_inodes_free,container_fs_inodes_total,container_fs_io_current,container_fs_io_time_seconds_total,container_fs_io_time_weighted_seconds_total,container_fs_limit_bytes,container_fs_read_seconds_total,container_fs_reads_merged_total,container_fs_reads_total,container_fs_sector_reads_total,container_fs_sector_writes_total,container_fs_usage_bytes,container_fs_write_seconds_total,container_fs_writes_merged_total,container_fs_writes_total,container_last_seen,container_memory_cache,container_memory_failcnt,container_memory_failures_total,container_memory_kernel_usage,container_memory_mapped_file,container_memory_max_usage_bytes,container_memory_rss,container_memory_swap,container_memory_total_active_file_bytes,container_memory_total_inactive_file_bytes,container_memory_usage_bytes,container_memory_working_set_bytes,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_oom_events_total,container_processes,container_scrape_error,container_sockets,container_spec_cpu_period,container_spec_cpu_quota,container_spec_cpu_shares,container_spec_memory_limit_bytes,container_spec_memory_reservation_limit_bytes,container_spec_memory_swap_limit_bytes,container_start_time_seconds,container_tasks_state,container_threads,container_threads_max,container_ulimits_soft,machine_cpu_cores,machine_cpu_physical_cores,machine_cpu_sockets,machine_memory_bytes,machine_nvm_avg_power_budget_watts,machine_nvm_capacity,machine_scrape_error,machine_swap_bytes,scrape_duration_seconds,scrape_samples_post_metric_relabeling,scrape_samples_scraped,scrape_series_added,up
2025-05-18T02:06:13,1,7132,164,94.2861465,0,0,93.21,577.4240012,348.82,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533963,1980690432,0,101772,222257152,890015744,5830406144,3362877440,102400,457486336,1520275456,5742510080,4222234624,8159568,0,0,27634,12870085,0,0,34101,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.061717986,3605,3605,0,1
2025-05-18T02:06:43,1,7433,164,94.2861465,0,0,96.68,585.4120209,355,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533993,1963790336,0,101772,222846976,890249216,5830406144,3382341632,126976,459792384,1501081600,5743779840,4242698240,8507774,0,0,28474,13398019,0,0,34962,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.063664554,3605,3605,0,1
2025-05-18T02:07:13,1,7735,164,94.2861465,0,0,100.63,597.5976934,362,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534023,1922355200,0,101772,222507008,890322944,5830406144,3338354688,126976,492531712,1426939904,5660389376,4233449472,10018987,0,0,35373,14860426,0,0,44896,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.065268884,3605,3605,0,1
2025-05-18T02:07:43,1,8036,164,94.2861465,0,0,102.8,604.81858,365.53,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534053,1922818048,0,101772,222552064,890327040,5830406144,3348865024,126976,492650496,1427283968,5671923712,4244639744,10365149,0,0,36195,15378941,0,0,45736,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.064024872,3605,3605,0,1
2025-05-18T02:08:13,1,8337,164,94.2861465,0,0,105.29,613.0999346,370.14,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534083,1922088960,0,101772,222494720,890466304,5830406144,3380264960,131072,492982272,1426231296,5701087232,4274855936,10957387,0,0,37802,16017151,0,0,47741,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.064839567,3605,3605,0,1
2025-05-18T02:08:43,1,8639,164,94.2861465,0,0,108.43,625.1491903,377.92,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534113,1922576384,0,101772,222666752,890490880,5830406144,3354763264,131072,493113344,1426583552,5678223360,4251639808,12263431,0,0,43942,17380772,0,0,56536,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.063965051,3605,3605,0,1
2025-05-18T02:09:13,1,8940,164,94.2861465,0,0,110.85,632.8963787,382.83,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534143,1923145728,0,101772,222699520,890544128,5830406144,3356643328,131072,493248512,1427017728,5683634176,4256616448,12610195,0,0,44770,17901056,0,0,57383,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.061088667,3605,3605,0,1
2025-05-18T02:09:43,1,9241,164,94.2861465,0,0,113.1,640.1221404,387.19,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534173,1923620864,0,101772,222498816,890609664,5830406144,3385106432,131072,493359104,1427386368,5699076096,4271689728,12955633,0,0,45581,18418483,0,0,58206,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.062656842,3605,3605,0,1
2025-05-18T02:10:13,1,9542,164,94.2861465,0,0,116.79,651.8653592,394.78,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534203,1924087808,0,101772,223195136,890613760,5830406144,3384512512,131072,493473792,1427709952,5695344640,4267634688,14489825,0,0,52498,19900417,0,0,68160,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.066294572,3605,3605,0,1
2025-05-18T02:10:43,1,9844,164,94.2861465,0,0,119.33,659.0549199,400.2,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747534233,1924538368,0,101772,222842880,890613760,5830406144,3397644288,131072,493576192,1428078592,5703581696,4275503104,14836103,0,0,53323,20432255,0,0,68992,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.061429851,3605,3605,0,1
